order_number,customer_id,product_id,order_date,units,sale_price,currency,order_mode,updated_at
204,649,6,null,10,11,EUR,NEW,2023-01-01T12:00:00.000+0000
205,2694,6,null,6,95,EUR,NEW,2023-01-01T12:00:00.000+0000
206,1580,6,null,10,29,INR,NEW,2023-01-01T12:00:00.000+0000
207,2590,5,null,4,27,USD,NEW,2023-01-01T12:00:00.000+0000
208,2146,8,null,4,13,INR,NEW,2023-01-01T12:00:00.000+0000
209,2356,3,null,6,59,USD,NEW,2023-01-01T12:00:00.000+0000
210,2045,7,null,3,80,INR,NEW,2023-01-01T12:00:00.000+0000
211,2551,6,null,4,64,EUR,NEW,2023-01-01T12:00:00.000+0000
212,2763,4,null,3,57,USD,NEW,2023-01-01T12:00:00.000+0000
213,1224,3,null,9,20,USD,NEW,2023-01-01T12:00:00.000+0000
214,1043,4,null,3,93,USD,NEW,2023-01-01T12:00:00.000+0000
215,1388,6,null,6,40,INR,NEW,2023-01-01T12:00:00.000+0000
216,2406,3,null,9,69,INR,NEW,2023-01-01T12:00:00.000+0000
217,1524,5,null,2,68,CAD,NEW,2023-01-01T12:00:00.000+0000
218,2916,6,null,6,77,CAD,NEW,2023-01-01T12:00:00.000+0000
219,395,3,null,10,11,INR,NEW,2023-01-01T12:00:00.000+0000
220,1007,3,null,2,99,EUR,NEW,2023-01-01T12:00:00.000+0000
221,1918,3,null,5,37,EUR,NEW,2023-01-01T12:00:00.000+0000
222,1882,4,null,6,52,USD,NEW,2023-01-01T12:00:00.000+0000
223,1697,9,null,6,36,USD,NEW,2023-01-01T12:00:00.000+0000
224,956,5,null,3,45,INR,NEW,2023-01-01T12:00:00.000+0000
225,1171,5,null,10,56,CAD,NEW,2023-01-01T12:00:00.000+0000
226,2563,6,null,3,18,CAD,NEW,2023-01-01T12:00:00.000+0000
227,652,7,null,9,75,USD,NEW,2023-01-01T12:00:00.000+0000
228,2281,1,null,7,0,CAD,NEW,2023-01-01T12:00:00.000+0000
229,2215,6,null,7,98,USD,NEW,2023-01-01T12:00:00.000+0000
230,2494,7,null,8,62,USD,NEW,2023-01-01T12:00:00.000+0000
231,2568,7,null,7,23,USD,NEW,2023-01-01T12:00:00.000+0000
232,2567,7,null,6,63,INR,NEW,2023-01-01T12:00:00.000+0000
233,2071,6,null,3,18,EUR,NEW,2023-01-01T12:00:00.000+0000
234,1877,3,null,7,63,CAD,NEW,2023-01-01T12:00:00.000+0000
235,377,2,null,7,98,EUR,NEW,2023-01-01T12:00:00.000+0000
236,2368,10,null,4,13,EUR,NEW,2023-01-01T12:00:00.000+0000
237,588,5,null,4,45,CAD,NEW,2023-01-01T12:00:00.000+0000
238,2399,4,null,9,52,EUR,NEW,2023-01-01T12:00:00.000+0000
239,1819,10,null,6,24,USD,NEW,2023-01-01T12:00:00.000+0000
240,458,8,null,9,9,EUR,NEW,2023-01-01T12:00:00.000+0000
241,1470,8,null,10,36,EUR,NEW,2023-01-01T12:00:00.000+0000
242,1102,7,null,4,59,EUR,NEW,2023-01-01T12:00:00.000+0000
243,2205,10,null,10,60,INR,NEW,2023-01-01T12:00:00.000+0000
244,2601,7,null,7,93,INR,NEW,2023-01-01T12:00:00.000+0000
245,1651,5,null,4,98,USD,NEW,2023-01-01T12:00:00.000+0000
246,287,8,null,1,8,CAD,NEW,2023-01-01T12:00:00.000+0000
247,428,4,null,4,77,CAD,NEW,2023-01-01T12:00:00.000+0000
248,2930,1,null,1,15,CAD,NEW,2023-01-01T12:00:00.000+0000
249,1006,9,null,7,25,EUR,NEW,2023-01-01T12:00:00.000+0000
250,2240,6,null,9,84,CAD,NEW,2023-01-01T12:00:00.000+0000
251,579,2,null,2,99,USD,NEW,2023-01-01T12:00:00.000+0000
252,2262,10,null,9,28,INR,NEW,2023-01-01T12:00:00.000+0000
253,2481,5,null,1,90,INR,NEW,2023-01-01T12:00:00.000+0000
254,1399,1,null,5,37,EUR,NEW,2023-01-01T12:00:00.000+0000
255,661,2,null,10,89,USD,NEW,2023-01-01T12:00:00.000+0000
256,2856,10,null,6,98,USD,NEW,2023-01-01T12:00:00.000+0000
257,1593,4,null,3,17,USD,NEW,2023-01-01T12:00:00.000+0000
258,1788,6,null,2,47,INR,NEW,2023-01-01T12:00:00.000+0000
259,826,9,null,1,92,CAD,NEW,2023-01-01T12:00:00.000+0000
260,2233,7,null,8,82,EUR,NEW,2023-01-01T12:00:00.000+0000
261,2088,10,null,10,74,USD,NEW,2023-01-01T12:00:00.000+0000
262,21,1,null,1,44,INR,NEW,2023-01-01T12:00:00.000+0000
263,1758,6,null,9,86,CAD,NEW,2023-01-01T12:00:00.000+0000
264,26,3,null,9,98,EUR,NEW,2023-01-01T12:00:00.000+0000
265,2793,1,null,4,83,CAD,NEW,2023-01-01T12:00:00.000+0000
266,514,5,null,7,9,EUR,NEW,2023-01-01T12:00:00.000+0000
267,25,4,null,6,91,CAD,NEW,2023-01-01T12:00:00.000+0000
268,1276,6,null,10,46,EUR,NEW,2023-01-01T12:00:00.000+0000
269,1822,10,null,10,33,INR,NEW,2023-01-01T12:00:00.000+0000
270,1131,6,null,5,48,CAD,NEW,2023-01-01T12:00:00.000+0000
271,1087,8,null,9,19,EUR,NEW,2023-01-01T12:00:00.000+0000
272,2496,2,null,8,56,INR,NEW,2023-01-01T12:00:00.000+0000
273,632,2,null,9,50,EUR,NEW,2023-01-01T12:00:00.000+0000
274,2303,4,null,7,30,USD,NEW,2023-01-01T12:00:00.000+0000
275,538,7,null,4,46,INR,NEW,2023-01-01T12:00:00.000+0000
276,77,3,null,6,11,EUR,NEW,2023-01-01T12:00:00.000+0000
277,34,10,null,10,21,USD,NEW,2023-01-01T12:00:00.000+0000
278,2507,7,null,8,60,CAD,NEW,2023-01-01T12:00:00.000+0000
279,2033,5,null,10,80,EUR,NEW,2023-01-01T12:00:00.000+0000
280,1953,6,null,8,23,CAD,NEW,2023-01-01T12:00:00.000+0000
281,276,2,null,6,60,USD,NEW,2023-01-01T12:00:00.000+0000
282,962,7,null,9,23,EUR,NEW,2023-01-01T12:00:00.000+0000
283,2209,7,null,9,56,EUR,NEW,2023-01-01T12:00:00.000+0000
284,1700,4,null,3,18,EUR,NEW,2023-01-01T12:00:00.000+0000
285,2798,9,null,6,11,EUR,NEW,2023-01-01T12:00:00.000+0000
286,2186,4,null,2,69,INR,NEW,2023-01-01T12:00:00.000+0000
287,2733,9,null,6,58,CAD,NEW,2023-01-01T12:00:00.000+0000
288,2754,7,null,9,27,EUR,NEW,2023-01-01T12:00:00.000+0000
289,2454,1,null,6,9,EUR,NEW,2023-01-01T12:00:00.000+0000
290,1138,10,null,6,45,CAD,NEW,2023-01-01T12:00:00.000+0000
291,2739,4,null,3,61,CAD,NEW,2023-01-01T12:00:00.000+0000
292,2100,7,null,10,31,INR,NEW,2023-01-01T12:00:00.000+0000
293,1718,8,null,2,18,CAD,NEW,2023-01-01T12:00:00.000+0000
294,722,1,null,3,91,CAD,NEW,2023-01-01T12:00:00.000+0000
295,735,6,null,3,50,USD,NEW,2023-01-01T12:00:00.000+0000
296,1863,4,null,3,74,USD,NEW,2023-01-01T12:00:00.000+0000
297,2477,6,null,7,42,INR,NEW,2023-01-01T12:00:00.000+0000
298,1444,8,null,5,60,CAD,NEW,2023-01-01T12:00:00.000+0000
299,3,1,null,1,98,CAD,NEW,2023-01-01T12:00:00.000+0000
300,2819,8,null,9,47,INR,NEW,2023-01-01T12:00:00.000+0000
301,2796,2,null,5,92,USD,NEW,2023-01-01T12:00:00.000+0000
302,334,3,null,3,18,EUR,NEW,2023-01-01T12:00:00.000+0000
303,1342,5,null,3,13,EUR,NEW,2023-01-01T12:00:00.000+0000
304,755,7,null,1,83,INR,NEW,2023-01-01T12:00:00.000+0000
305,1666,7,null,1,94,INR,NEW,2023-01-01T12:00:00.000+0000
306,1739,7,null,6,5,USD,NEW,2023-01-01T12:00:00.000+0000
307,1228,5,null,5,28,CAD,NEW,2023-01-01T12:00:00.000+0000
308,1961,10,null,8,58,INR,NEW,2023-01-01T12:00:00.000+0000
309,625,1,null,8,58,INR,NEW,2023-01-01T12:00:00.000+0000
310,2221,1,null,6,50,CAD,NEW,2023-01-01T12:00:00.000+0000
311,686,7,null,4,92,INR,NEW,2023-01-01T12:00:00.000+0000
312,448,9,null,2,51,USD,NEW,2023-01-01T12:00:00.000+0000
313,2678,3,null,3,43,CAD,NEW,2023-01-01T12:00:00.000+0000
314,1223,3,null,5,62,INR,NEW,2023-01-01T12:00:00.000+0000
315,1433,8,null,4,33,INR,NEW,2023-01-01T12:00:00.000+0000
316,446,5,null,9,23,USD,NEW,2023-01-01T12:00:00.000+0000
317,1801,1,null,8,77,CAD,NEW,2023-01-01T12:00:00.000+0000
318,2231,8,null,7,77,EUR,NEW,2023-01-01T12:00:00.000+0000
319,1326,5,null,1,57,EUR,NEW,2023-01-01T12:00:00.000+0000
320,274,1,null,9,58,INR,NEW,2023-01-01T12:00:00.000+0000
321,743,1,null,4,68,CAD,NEW,2023-01-01T12:00:00.000+0000
322,2346,10,null,9,57,USD,NEW,2023-01-01T12:00:00.000+0000
323,1768,10,null,7,31,CAD,NEW,2023-01-01T12:00:00.000+0000
324,1406,3,null,3,50,INR,NEW,2023-01-01T12:00:00.000+0000
325,2850,3,null,5,10,CAD,NEW,2023-01-01T12:00:00.000+0000
326,2291,2,null,2,17,EUR,NEW,2023-01-01T12:00:00.000+0000
327,650,2,null,3,83,USD,NEW,2023-01-01T12:00:00.000+0000
328,2937,7,null,3,94,USD,NEW,2023-01-01T12:00:00.000+0000
329,11,6,null,3,66,EUR,NEW,2023-01-01T12:00:00.000+0000
330,1616,3,null,3,39,USD,NEW,2023-01-01T12:00:00.000+0000
331,308,7,null,3,76,USD,NEW,2023-01-01T12:00:00.000+0000
332,2237,6,null,8,94,CAD,NEW,2023-01-01T12:00:00.000+0000
333,2753,7,null,4,84,USD,NEW,2023-01-01T12:00:00.000+0000
334,725,4,null,1,16,EUR,NEW,2023-01-01T12:00:00.000+0000
335,2328,7,null,8,39,CAD,NEW,2023-01-01T12:00:00.000+0000
336,915,2,null,3,91,INR,NEW,2023-01-01T12:00:00.000+0000
337,378,7,null,3,35,INR,NEW,2023-01-01T12:00:00.000+0000
338,1495,4,null,6,41,EUR,NEW,2023-01-01T12:00:00.000+0000
339,284,4,null,4,85,INR,NEW,2023-01-01T12:00:00.000+0000
340,676,8,null,4,28,INR,NEW,2023-01-01T12:00:00.000+0000
341,479,10,null,1,67,CAD,NEW,2023-01-01T12:00:00.000+0000
342,521,5,null,6,86,USD,NEW,2023-01-01T12:00:00.000+0000
343,733,3,null,8,22,CAD,NEW,2023-01-01T12:00:00.000+0000
344,2204,4,null,3,73,EUR,NEW,2023-01-01T12:00:00.000+0000
345,692,6,null,2,84,INR,NEW,2023-01-01T12:00:00.000+0000
346,373,8,null,1,5,INR,NEW,2023-01-01T12:00:00.000+0000
347,2634,9,null,2,6,CAD,NEW,2023-01-01T12:00:00.000+0000
348,2584,10,null,8,55,EUR,NEW,2023-01-01T12:00:00.000+0000
349,778,8,null,5,25,USD,NEW,2023-01-01T12:00:00.000+0000
350,645,1,null,2,88,INR,NEW,2023-01-01T12:00:00.000+0000
351,1399,3,null,2,72,USD,NEW,2023-01-01T12:00:00.000+0000
352,2323,6,null,2,57,EUR,NEW,2023-01-01T12:00:00.000+0000
353,2644,10,null,9,38,EUR,NEW,2023-01-01T12:00:00.000+0000
354,11,1,null,3,99,EUR,NEW,2023-01-01T12:00:00.000+0000
355,261,4,null,2,82,EUR,NEW,2023-01-01T12:00:00.000+0000
356,2452,8,null,3,22,INR,NEW,2023-01-01T12:00:00.000+0000
357,2083,2,null,7,64,USD,NEW,2023-01-01T12:00:00.000+0000
358,1592,2,null,10,1,CAD,NEW,2023-01-01T12:00:00.000+0000
359,2696,3,null,5,86,USD,NEW,2023-01-01T12:00:00.000+0000
360,114,9,null,2,61,EUR,NEW,2023-01-01T12:00:00.000+0000
361,2224,2,null,5,45,CAD,NEW,2023-01-01T12:00:00.000+0000
362,1720,5,null,6,77,CAD,NEW,2023-01-01T12:00:00.000+0000
363,1276,5,null,8,3,INR,NEW,2023-01-01T12:00:00.000+0000
364,1096,3,null,3,37,USD,NEW,2023-01-01T12:00:00.000+0000
